Devices,Algorithm,AvgVCSize,AvgExecutionTimeMs,StdExecutionTimeMs,AvgDensity,AvgConnectivity,AvgEnergySaving,AvgError,AvgApproximationRatio,BestVCSize,BestExecutionTimeMs
19,EdgeGreedy,18,0.0453,0.0049,0.6784,67.8363,12.2105,5.2632,12.5,1.125,18,0.0415
20,BruteForce,17.4,944.7642,45.5102,0.6758,67.5789,12.84,13.0,0.0,1.0,17,892.2536
20,Backtracking,17.4,232.1554,83.8485,0.6758,67.5789,12.84,13.0,0.0,1.0,17,154.2824
20,Greedy,17.4,0.1866,0.0396,0.6758,67.5789,12.84,13.0,0.0,1.0,17,0.1524
20,EdgeGreedy,19.2,0.0547,0.0125,0.6758,67.5789,12.84,4.0,10.4575,1.1046,18,0.0398
21,BruteForce,17.8,1802.3366,101.2207,0.639,63.9048,12.781,15.2381,0.0,1.0,17,1699.05
21,Backtracking,17.8,327.2386,67.4759,0.639,63.9048,12.781,15.2381,0.0,1.0,17,211.3724
21,Greedy,17.8,0.1881,0.0197,0.639,63.9048,12.781,15.2381,0.0,1.0,17,0.1594
21,EdgeGreedy,20,0.0558,0.0092,0.639,63.9048,12.781,4.7619,12.4183,1.1242,20,0.0471
22,BruteForce,18.8,3621.8143,260.1553,0.6571,65.7143,13.8,14.5455,0.0,1.0,18,3272.9089
22,Backtracking,18.8,665.7718,130.955,0.6571,65.7143,13.8,14.5455,0.0,1.0,18,437.0496
22,Greedy,18.8,0.2411,0.0487,0.6571,65.7143,13.8,14.5455,0.0,1.0,18,0.1898
22,EdgeGreedy,21.2,0.0764,0.0149,0.6571,65.7143,13.8,3.6364,12.8655,1.1287,20,0.061
23,BruteForce,19.8,6869.5341,239.5804,0.6111,61.1067,13.4435,13.913,0.0,1.0,19,6457.1604
23,Backtracking,19.8,1326.4676,230.2366,0.6111,61.1067,13.4435,13.913,0.0,1.0,19,948.8165
23,Greedy,20.2,0.2525,0.0316,0.6111,61.1067,13.4435,12.1739,2.0526,1.0205,20,0.2203
23,EdgeGreedy,21.6,0.0739,0.008,0.6111,61.1067,13.4435,6.087,9.1579,1.0916,20,0.0609
24,BruteForce,20.8,14862.8166,1338.6931,0.6094,60.942,14.0167,13.3333,0.0,1.0,20,13286.4514
24,Backtracking,20.8,2832.4489,919.9902,0.6094,60.942,14.0167,13.3333,0.0,1.0,20,2014.8854
24,Greedy,21,0.3112,0.034,0.6094,60.942,14.0167,12.5,1.0,1.01,20,0.273
24,EdgeGreedy,23.2,0.0809,0.0054,0.6094,60.942,14.0167,3.3333,11.6277,1.1163,22,0.0757
25,BruteForce,21.6,31935.3167,2147.0607,0.638,63.8,15.312,13.6,0.0,1.0,21,28879.985
25,Backtracking,21.6,4769.3554,1426.3118,0.638,63.8,15.312,13.6,0.0,1.0,21,3204.3068
25,Greedy,21.6,0.3238,0.0574,0.638,63.8,15.312,13.6,0.0,1.0,21,0.2411
25,EdgeGreedy,24,0.0935,0.0153,0.638,63.8,15.312,4.0,11.1688,1.1117,24,0.0767
26,BruteForce,23,70971.2941,18100.3421,0.7083,70.8308,17.7077,11.5385,0.0,1.0,23,51985.4666
26,Backtracking,23,12222.6688,1062.6938,0.7083,70.8308,17.7077,11.5385,0.0,1.0,23,10843.6014
26,Greedy,23.4,0.4197,0.0205,0.7083,70.8308,17.7077,10.0,1.7391,1.0174,23,0.3842
26,EdgeGreedy,25.6,0.1248,0.0116,0.7083,70.8308,17.7077,1.5385,11.3043,1.113,24,0.1062
