Devices,Run,Algorithm,VCSize,ExecutionTime,Density,Error,ApproximationRatio,GraphFile
10,5,Backtracking,7,0.0,0.6444,0.0,1.0,graphs/N10_run5_Backtracking.png
10,5,Greedy,7,0.0,0.6444,0.0,1.0,graphs/N10_run5_Greedy.png
10,5,EdgeGreedy,10,0.0,0.6444,42.8571,1.4286,graphs/N10_run5_EdgeGreedy.png
11,1,BruteForce,8,1.0028,0.7091,0.0,1.0,graphs/N11_run1_BruteForce.png
11,1,Backtracking,8,0.9997,0.7091,0.0,1.0,graphs/N11_run1_Backtracking.png
11,1,Greedy,8,0.0,0.7091,0.0,1.0,graphs/N11_run1_Greedy.png
11,1,EdgeGreedy,10,0.0,0.7091,25.0,1.25,graphs/N11_run1_EdgeGreedy.png
11,2,BruteForce,9,2.0006,0.8,0.0,1.0,graphs/N11_run2_BruteForce.png
11,2,Backtracking,9,0.9995,0.8,0.0,1.0,graphs/N11_run2_Backtracking.png
11,2,Greedy,9,0.0,0.8,0.0,1.0,graphs/N11_run2_Greedy.png
11,2,EdgeGreedy,10,0.0,0.8,11.1111,1.1111,graphs/N11_run2_EdgeGreedy.png
11,3,BruteForce,8,2.001,0.5636,0.0,1.0,graphs/N11_run3_BruteForce.png
11,3,Backtracking,8,0.0,0.5636,0.0,1.0,graphs/N11_run3_Backtracking.png
11,3,Greedy,8,0.0,0.5636,0.0,1.0,graphs/N11_run3_Greedy.png
11,3,EdgeGreedy,10,0.0,0.5636,25.0,1.25,graphs/N11_run3_EdgeGreedy.png
11,4,BruteForce,9,0.9999,0.8909,0.0,1.0,graphs/N11_run4_BruteForce.png
11,4,Backtracking,9,0.0,0.8909,0.0,1.0,graphs/N11_run4_Backtracking.png
11,4,Greedy,9,0.0,0.8909,0.0,1.0,graphs/N11_run4_Greedy.png
11,4,EdgeGreedy,10,0.0,0.8909,11.1111,1.1111,graphs/N11_run4_EdgeGreedy.png
11,5,BruteForce,8,1.0002,0.6909,0.0,1.0,graphs/N11_run5_BruteForce.png
11,5,Backtracking,8,0.9997,0.6909,0.0,1.0,graphs/N11_run5_Backtracking.png
11,5,Greedy,9,0.0,0.6909,12.5,1.125,graphs/N11_run5_Greedy.png
11,5,EdgeGreedy,10,0.0,0.6909,25.0,1.25,graphs/N11_run5_EdgeGreedy.png
12,1,BruteForce,9,2.9998,0.7121,0.0,1.0,graphs/N12_run1_BruteForce.png
